SEQGEN20,YEAR,PSTATABB,PNAME,ORISPL,GENID,NUMBLR,GENSTAT,PRMVR,FUELG1,NAMEPCAP,CFACT,GENNTAN,GENNTOZ,GENERSRC,GENYRONL,GENYRRET
1,2020,AK,7-Mile Ridge Wind Project,60814,WT1,0,CN,WT,WND,1.8,0,0,0,0,0,0
2,2020,AK,Agrium Kenai Nitrogen Operations,54452,744A,0,OS,GT,NG,2.5,0,0,0,0,1977,0
3,2020,AK,Agrium Kenai Nitrogen Operations,54452,744B,0,OS,GT,NG,2.5,0,0,0,0,1977,0
4,2020,AK,Agrium Kenai Nitrogen Operations,54452,744C,0,OS,GT,NG,2.5,0,0,0,0,1977,0
5,2020,AK,Agrium Kenai Nitrogen Operations,54452,744D,0,OS,GT,NG,2.5,0,0,0,0,1977,0
6,2020,AK,Agrium Kenai Nitrogen Operations,54452,744E,0,OS,GT,NG,2.5,0,0,0,0,1977,0
7,2020,AK,Agrium Kenai Nitrogen Operations,54452,644A,0,RE,IC,NG,1.3,0,0,0,0,0,2001
8,2020,AK,Agrium Kenai Nitrogen Operations,54452,644B,0,RE,IC,NG,1.3,0,0,0,0,0,2001
9,2020,AK,Agrium Kenai Nitrogen Operations,54452,644C,0,RE,IC,NG,1.3,0,0,0,0,0,2001
10,2020,AK,Agrium Kenai Nitrogen Operations,54452,644D,0,RE,IC,NG,1.3,0,0,0,0,0,2001
11,2020,AK,Agrium Kenai Nitrogen Operations,54452,644E,0,RE,IC,NG,1.3,0,0,0,0,0,2001
12,2020,AK,Agrium Kenai Nitrogen Operations,54452,644F,0,RE,IC,NG,1.3,0,0,0,0,0,2001
13,2020,AK,Agrium Kenai Nitrogen Operations,54452,644G,0,RE,IC,NG,1.3,0,0,0,0,0,2001
14,2020,AK,Alakanuk,57053,UNIT4,0,SB,IC,DFO,0.8,0,0,0,Distributed from 923 Generation And Fuel,2013,0
15,2020,AK,Alakanuk,57053,G309,0,CN,IC,DFO,0.5,0,0,0,0,0,0
16,2020,AK,Alakanuk,57053,UNIT1,0,RE,IC,DFO,0.4,0,0,0,0,0,2016
17,2020,AK,Alakanuk,57053,UNIT2,0,RE,IC,DFO,0.5,0,0,0,0,0,2016
18,2020,AK,Alakanuk,57053,UNIT3,0,RE,IC,DFO,0.4,0,0,0,0,0,2016
19,2020,AK,Allison Creek Hydro,58982,GEN1,0,OP,HY,WAT,6.5,0.37,20808,9469,Distributed from 923 Generation And Fuel,2016,0
20,2020,AK,Ambler,60243,1A,0,OP,IC,DFO,0.4,0.09,323.2,139.47,Distributed from 923 Generation And Fuel,2020,0
21,2020,AK,Ambler,60243,2,0,OP,IC,DFO,0.3,0.09,242.4,104.6,Distributed from 923 Generation And Fuel,1993,0
22,2020,AK,Ambler,60243,3,0,OP,IC,DFO,0.4,0.09,323.2,139.47,Distributed from 923 Generation And Fuel,1990,0
23,2020,AK,Ambler,60243,1,0,RE,IC,DFO,0.4,0.09,323.2,139.47,Distributed from 923 Generation And Fuel,0,2020
24,2020,AK,Anchorage 1,75,3R,0,OP,GT,NG,48.9,0.01,4923.5,1812.33,Distributed from 923 Generation And Fuel,2007,0
25,2020,AK,Anchorage 1,75,4,0,OP,GT,NG,27,0.01,2718.5,1000.67,Distributed from 923 Generation And Fuel,1972,0
26,2020,AK,Anchorage 1,75,P1 BS,0,OP,IC,DFO,2,0,4,2,Distributed from 923 Generation And Fuel,2012,0
27,2020,AK,Anchorage 1,75,1,0,RE,GT,NG,12.5,0,0,0,0,0,2016
28,2020,AK,Anchorage 1,75,2,0,RE,GT,NG,12.5,0,0,0,0,0,2016
29,2020,AK,Anchorage 1,75,3,0,RE,GT,NG,16.3,0,0,0,0,0,2004
30,2020,AK,Anchorage 1,75,D1,0,RE,IC,DFO,1.1,0,0,0,0,0,2010
31,2020,AK,Anchorage 1,75,D2,0,RE,IC,DFO,1.1,0,0,0,0,0,2010
32,2020,AK,Angoon,7462,1A,0,OP,IC,DFO,0.5,0.13,547.33,236,Distributed from 923 Generation And Fuel,2009,0
33,2020,AK,Angoon,7462,2A,0,OP,IC,DFO,0.5,0.13,547.33,236,Distributed from 923 Generation And Fuel,1998,0
34,2020,AK,Angoon,7462,3,0,OP,IC,DFO,0.5,0.13,547.33,236,Distributed from 923 Generation And Fuel,1990,0
35,2020,AK,Angoon,7462,1,0,RE,IC,DFO,0.4,0,0,0,0,0,2008
36,2020,AK,Aniak,7182,1,0,OP,IC,DFO,0.5,0.15,642.06,277.06,Distributed from 923 Generation And Fuel,1988,0
37,2020,AK,Aniak,7182,10,0,OP,IC,DFO,0.6,0.15,770.47,332.47,Distributed from 923 Generation And Fuel,2016,0
38,2020,AK,Aniak,7182,9,0,OP,IC,DFO,0.6,0.15,770.47,332.47,Distributed from 923 Generation And Fuel,1996,0
39,2020,AK,Aniak,7182,3,0,RE,IC,DFO,0.3,0,0,0,0,0,2005
40,2020,AK,Aniak,7182,4,0,RE,IC,DFO,0.3,0,0,0,0,0,2005
41,2020,AK,Aniak,7182,5,0,RE,IC,DFO,0.3,0,0,0,0,0,1994
42,2020,AK,Annex Creek,62,5,0,OP,HY,WAT,1.8,0.74,11682.9,5316.3,Distributed from 923 Generation And Fuel,1915,0
43,2020,AK,Annex Creek,62,6,0,OP,HY,WAT,2.2,0.74,14279.1,6497.7,Distributed from 923 Generation And Fuel,1915,0
44,2020,AK,Auke Bay,7250,13,0,SB,GT,DFO,2.8,0,-11.22,-4.82,Distributed from 923 Generation And Fuel,1993,0
45,2020,AK,Auke Bay,7250,14,0,SB,GT,DFO,30.9,0,-123.78,-53.18,Distributed from 923 Generation And Fuel,1994,0
46,2020,AK,Auke Bay,7250,4,0,SB,IC,DFO,2.5,0,-8,-3,Distributed from 923 Generation And Fuel,1980,0
47,2020,AK,Aurora Energy LLC Chena,79,1,3,OP,ST,SUB,5,0.75,33018,13939,EIA-923 Generator File,1952,0
48,2020,AK,Aurora Energy LLC Chena,79,2,3,OP,ST,SUB,2.5,0.24,5316,1926,EIA-923 Generator File,1952,0
49,2020,AK,Aurora Energy LLC Chena,79,5,2,OP,ST,SUB,20,0.86,149878,65329,EIA-923 Generator File,1975,0
50,2020,AK,Aurora Energy LLC Chena,79,3,3,RE,ST,SUB,1.5,0,0,0,0,0,2009
51,2020,AK,Aurora Energy LLC Chena,79,7,3,IP,ST,SUB,2.3,0,0,0,Distributed from 923 Generation And Fuel,0,0
52,2020,AK,Barrow,7173,10,0,OS,IC,NG,1.5,0,0,0,Distributed from 923 Generation And Fuel,1994,0
53,2020,AK,Barrow,7173,11,0,OP,GT,NG,4.8,0.34,14188.58,5207.58,Distributed from 923 Generation And Fuel,1996,0
54,2020,AK,Barrow,7173,12,0,OP,GT,NG,5,0.34,14779.77,5424.57,Distributed from 923 Generation And Fuel,2001,0
55,2020,AK,Barrow,7173,6,0,OP,GT,NG,2.5,0.34,7389.88,2712.28,Distributed from 923 Generation And Fuel,1977,0
